startId,finishId,vkId,vote
-101,-1024,4497215,1
-101,-1024,5197119,3
-101,-1024,8025376,1
-101,-1024,18486664,13
-101,-1024,30033860,3
-101,-1024,34957710,5
-101,-1024,54969569,13
-101,-1024,146165319,1
-101,-1024,161933950,1
-101,-1024,222267422,13
-101,-1024,546424498,8
-100,-1028,54396,3
-100,-1028,2204686,1
-100,-1028,5197119,3
-100,-1028,8025376,1
-100,-1028,30033860,1
-100,-1028,34957710,3
-100,-1028,75449515,13
-100,-1028,131970466,1
-100,-1028,157041502,1
-100,-1028,161933950,8
-100,-1027,54396,1
-100,-1027,2204686,1
-100,-1027,5197119,1
-100,-1027,8025376,3
-100,-1027,30033860,1
-100,-1027,34957710,5
-100,-1027,75449515,5
-100,-1027,131970466,3
-100,-1027,157041502,1
-100,-1027,161933950,5
-100,-1026,54396,8
-100,-1026,2204686,5
-100,-1026,5197119,3
-100,-1026,8025376,8
-100,-1026,30033860,13
-100,-1026,34957710,5
-100,-1026,75449515,13
-100,-1026,157041502,5
-100,-1026,161933950,8
-100,-1026,546424498,13
-100,-1025,54396,1
-100,-1025,2204686,3
-100,-1025,5197119,3
-100,-1025,8025376,5
-100,-1025,30033860,1
-100,-1025,34957710,5
-100,-1025,75449515,3
-100,-1025,131970466,1
-100,-1025,157041502,1
-100,-1025,161933950,3
-100,-1025,546424498,8
-100,414,54396,1
-100,414,2204686,3
-100,414,5197119,1
-100,414,8025376,3
-100,414,30033860,1
-100,414,34957710,5
-100,414,75449515,3
-100,414,131970466,1
-100,414,157041502,1
-100,414,161933950,1
-100,414,546424498,5
-100,415,54396,1
-100,415,2204686,5
-100,415,5197119,5
-100,415,8025376,3
-100,415,9016887,3
-100,415,30033860,1
-100,415,34957710,5
-100,415,75449515,3
-100,415,131970466,3
-100,415,157041502,1
-100,415,161933950,3
-100,415,546424498,13
-100,416,54396,3
-100,416,2204686,3
-100,416,5197119,1
-100,416,8025376,1
-100,416,30033860,8
-100,416,34957710,3
-100,416,75449515,5
-100,416,131970466,8
-100,416,157041502,13
-100,416,161933950,1
-100,416,546424498,13
-100,417,54396,13
-100,417,2204686,8
-100,417,5197119,1
-100,417,8025376,1
-100,417,30033860,3
-100,417,34957710,8
-100,417,75449515,3
-100,417,157041502,8
-100,417,161933950,3
-100,426,54396,8
-100,426,2204686,1
-100,426,5197119,3
-100,426,8025376,3
-100,426,30033860,1
-100,426,34957710,8
-100,426,75449515,8
-100,426,131970466,5
-100,426,157041502,1
-100,426,161933950,3
-100,426,546424498,8
-100,427,54396,3
-100,427,2204686,3
-100,427,5197119,1
-100,427,8025376,3
-100,427,30033860,1
-100,427,34957710,8
-100,427,75449515,3
-100,427,131970466,8
-100,427,157041502,1
-100,427,161933950,1
-100,427,546424498,5
-100,428,54396,1
-100,428,2204686,3
-100,428,5197119,1
-100,428,8025376,5
-100,428,30033860,13
-100,428,34957710,5
-100,428,75449515,3
-100,428,131970466,1
-100,428,157041502,1
-100,428,161933950,1
-99,-1023,5197119,3
-99,-1023,8025376,5
-99,-1023,56109258,13
-99,-1022,5197119,3
-99,-1022,8025376,8
-99,-1022,56109258,5
-99,-1021,5197119,3
-99,-1021,8025376,5
-99,-1021,56109258,8
-98,-1020,4497215,8
-98,-1020,5197119,3
-98,-1020,8025376,3
-98,-1020,56109258,8
-98,-1020,146165319,1
-98,-1020,191586127,1
-98,-1019,4497215,3
-98,-1019,5197119,3
-98,-1019,8025376,8
-98,-1019,56109258,8
-98,-1019,146165319,5
-98,-1019,191586127,8
-98,-1018,4497215,3
-98,-1018,5197119,3
-98,-1018,8025376,5
-98,-1018,56109258,3
-98,-1018,146165319,1
-98,-1018,191586127,5
-98,-1017,4497215,5
-98,-1017,5197119,5
-98,-1017,8025376,1
-98,-1017,56109258,3
-98,-1017,146165319,1
-98,-1017,191586127,3
-97,-1016,4497215,1
-97,-1016,5197119,5
-97,-1016,8025376,5
-97,-1016,54969569,5
-97,-1016,56109258,3
-97,-1016,146165319,1
-97,-1016,191586127,1
-97,-1015,4497215,5
-97,-1015,5197119,3
-97,-1015,8025376,3
-97,-1015,54969569,3
-97,-1015,56109258,3
-97,-1015,146165319,1
-97,-1015,191586127,13
-97,-1014,4497215,1
-97,-1014,5197119,3
-97,-1014,8025376,1
-97,-1014,54969569,8
-97,-1014,56109258,1
-97,-1014,146165319,3
-97,-1014,191586127,5
-97,-1013,4497215,3
-97,-1013,5197119,1
-97,-1013,8025376,3
-97,-1013,54969569,1
-97,-1013,56109258,5
-97,-1013,146165319,1
-97,-1013,191586127,1
-97,-1012,4497215,5
-97,-1012,5197119,1
-97,-1012,8025376,1
-97,-1012,54969569,5
-97,-1012,56109258,3
-97,-1012,146165319,1
-97,-1012,191586127,1
-97,-1011,4497215,5
-97,-1011,5197119,1
-97,-1011,8025376,3
-97,-1011,54969569,1
-97,-1011,56109258,8
-97,-1011,146165319,1
-97,-1011,191586127,1
-97,-1010,4497215,5
-97,-1010,5197119,3
-97,-1010,8025376,8
-97,-1010,54969569,5
-97,-1010,56109258,5
-97,-1010,146165319,5
-97,-1010,191586127,13
-96,-997,5197119,3
-96,-997,8025376,8
-96,-997,54969569,5
-96,-997,56109258,8
-96,-997,191586127,1
-96,-997,546424498,13
-96,-996,5197119,1
-96,-996,8025376,13
-96,-996,54969569,1
-96,-996,56109258,3
-96,-996,191586127,13
-96,-996,546424498,13
-96,-995,5197119,1
-96,-995,8025376,8
-96,-995,54969569,5
-96,-995,56109258,1
-96,-995,191586127,13
-96,-995,546424498,13
-96,-994,5197119,1
-96,-994,8025376,8
-96,-994,54969569,1
-96,-994,56109258,1
-96,-994,191586127,1
-96,-994,546424498,13
-96,-993,5197119,1
-96,-993,8025376,8
-96,-993,54969569,1
-96,-993,56109258,1
-96,-993,191586127,1
-96,-993,546424498,13
-96,-992,5197119,3
-96,-992,8025376,13
-96,-992,54969569,8
-96,-992,56109258,1
-96,-992,191586127,13
-96,-992,546424498,13
-96,-991,5197119,1
-96,-991,8025376,5
-96,-991,54969569,3
-96,-991,56109258,1
-96,-991,191586127,1
-96,-991,546424498,8
-96,-990,8025376,5
-96,-990,54969569,13
-96,-990,56109258,3
-96,-990,191586127,13
-96,-990,546424498,13
-96,-989,5197119,3
-96,-989,8025376,8
-96,-989,54969569,13
-96,-989,56109258,3
-96,-989,191586127,13
-95,-1003,4497215,3
-95,-1003,5197119,1
-95,-1003,8025376,8
-95,-1003,54969569,5
-95,-1003,56109258,1
-95,-1003,191586127,13
-95,-1003,546424498,13
-95,-1002,4497215,3
-95,-1002,5197119,1
-95,-1002,8025376,5
-95,-1002,54969569,5
-95,-1002,191586127,13
-95,-1002,546424498,3
